name,sweet,acidity,body,tannin,price,abv,type,nation,year
"Aegerter, Bourgogne Pinot Noir ",SWEET2,ACIDITY5,BODY4,TANNIN2,100000,11.5,Red,France,2013
"Montinore, Pinot Noir",SWEET2,ACIDITY5,BODY4,TANNIN3,96000,13,Red,USA,2007
Baile Bravo Sweet White,SWEET5,ACIDITY2,BODY1,TANNIN1,10000,11,White,Spain,0
David Arthur Meritaggio,SWEET2,ACIDITY4,BODY4,TANNIN5,300000,14.6,Red,USA,2005
"LEBOVITZ, Lambrusco Amabile",SWEET1,ACIDITY2,BODY5,TANNIN1,28000,7~8,Sparkling,Italy,0
"Brezza, Barbera d’Alba Santa Rosalia ",SWEET1,ACIDITY4,BODY5,TANNIN2,88000,13.5,Red,Italy,2015
Bellingham Mocha Java Merlot,SWEET3,ACIDITY4,BODY4,TANNIN4,35000,13.5,Red,the Republic of South Africa,2012
Fancy Pants Cabernet sauvignon,SWEET2,ACIDITY3,BODY3,TANNIN4,40000,13.5,Red,USA,2012
"Gerstacker, Christkindles Gluhwein",SWEET3,ACIDITY4,BODY4,TANNIN2,39000,8.5,Etc,Germany,0
Sternthaler Gluehwein,SWEET3,ACIDITY2,BODY5,TANNIN1,17000,10,Etc,Germany,0
"MENEGOLLI, Amarone della Valpolicella Premium ",SWEET2,ACIDITY4,BODY5,TANNIN3,220000,15,Red,Italy,2013
"Ackerman, Le Master",SWEET3,ACIDITY3,BODY4,TANNIN1,55000,12~13,White,France,2014
Graham's Vintage Port,SWEET4,ACIDITY2,BODY5,TANNIN3,370000,20,Fortified,Portugal,2011
"Lompoc, Sta. Rita Hills Pinot Noir ",SWEET1,ACIDITY4,BODY4,TANNIN2,90000,12.5,Red,USA,2012
"Carlo Pellegrino, Marsala Vergine Riserva Vintage",SWEET2,ACIDITY2,BODY5,TANNIN1,209000,19,Fortified,Italy,1980
Luis Felipe Edwards LFE CIEN 100 Carignan,SWEET1,ACIDITY5,BODY5,TANNIN4,160000,14.5,Red,Chile,2011
Gonzales Byass Vina AB Amontillado,SWEET1,ACIDITY2,BODY5,TANNIN2,60000,16.5,Fortified,Spain,0
Gonzales Byass Alfonso Oloroso,SWEET4,ACIDITY2,BODY5,TANNIN2,60000,18,Fortified,Spain,0
Gonzales Byass Cristina Medium Dry Oloroso,SWEET3,ACIDITY2,BODY4,TANNIN2,64000,17.5,Fortified,Spain,0
Josef Drathen Koblenz Riesling Kabinett,SWEET2,ACIDITY5,BODY1,TANNIN1,30000,7.5,White,Germany,2013
Blandy’s 10 Year Old 'Sercial',SWEET2,ACIDITY4,BODY5,TANNIN1,155000,19,Fortified,Portugal,0
Chateau d'Yquem,SWEET5,ACIDITY4,BODY5,TANNIN1,780000,13~14,White,France,2017
Palladino Barolo Vigna Brogli,SWEET1,ACIDITY3,BODY2,TANNIN4,210000,14,Red,Italy,2005
Palladino Barolo Ornato,SWEET1,ACIDITY3,BODY3,TANNIN5,200000,14.5,Red,Italy,2014
Chateau Pape Clement,SWEET3,ACIDITY4,BODY5,TANNIN4,220000,13~14,Red,France,2017
"Bodegas Castano, Hecula Monastrell",SWEET2,ACIDITY3,BODY4,TANNIN4,57500,14~15,Red,Spain,2016
Vecchia Torre Salice Salentino Reserva,SWEET3,ACIDITY3,BODY4,TANNIN4,70000,13.5,Red,Italy,2012
Cherry Hill Dijon Cuvee Estate Pinot Noir,SWEET1,ACIDITY5,BODY5,TANNIN3,100000,14~15,Red,USA,2014
"Footprint, Merlot Pinotage",SWEET2,ACIDITY2,BODY3,TANNIN4,22000,14.2,Red,the Republic of South Africa,2020
"San Marzano, Belita Rosso ",SWEET3,ACIDITY2,BODY2,TANNIN3,30000,13~14,Red,Italy,2017
